,Kingdom,Phylum,Class,Order,Family,Genus
ASV_V3V400009,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,Marinobacterium
ASV_V3V400024,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria
ASV_V3V400036,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV_V3V400040,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Catenococcus
ASV_V3V400042,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,
ASV_V3V400043,Bacteria,Rokubacteria,NC10,Methylomirabilales,Methylomirabilaceae,wb1-A12
ASV_V3V400044,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV_V3V400045,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Tepidibacter
ASV_V3V400047,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV_V3V400048,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Nitrosococcaceae,Inmirania
ASV_V3V400049,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Tumebacillus
ASV_V3V400051,Bacteria,Chloroflexi,Anaerolineae,SBR1031,,
ASV_V3V400054,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Robiginitalea
ASV_V3V400061,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus
ASV_V3V400062,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,
ASV_V3V400063,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Salinimicrobium
ASV_V3V400064,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV_V3V400065,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_3,Clostridiisalibacter
ASV_V3V400066,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV_V3V400067,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,
ASV_V3V400069,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Sva0081_sediment_group
ASV_V3V400070,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV_V3V400071,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324_clade(Marine_group_B),,
ASV_V3V400074,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalispiraceae,Thioalkalispira
ASV_V3V400076,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
ASV_V3V400077,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,
ASV_V3V400078,Bacteria,Nitrospirae,Thermodesulfovibrionia,,,
ASV_V3V400080,Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,,
ASV_V3V400081,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
ASV_V3V400083,Bacteria,,,,,
ASV_V3V400087,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Fictibacillus
ASV_V3V400088,Bacteria,,,,,
ASV_V3V400090,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodovibrionales,Fodinicurvataceae,Rhodovibrio
ASV_V3V400092,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,
ASV_V3V400094,Bacteria,Chloroflexi,Dehalococcoidia,MSBL5,,
ASV_V3V400095,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Sva0081_sediment_group
ASV_V3V400096,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,
ASV_V3V400099,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,
ASV_V3V400100,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,
ASV_V3V400102,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalispiraceae,Thiohalophilus
ASV_V3V400104,Bacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,,
ASV_V3V400106,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_Incertae_Sedis,Dichotomicrobium
ASV_V3V400107,Bacteria,Chloroflexi,Anaerolineae,,,
ASV_V3V400108,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalispiraceae,Thioalkalispira
ASV_V3V400109,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Marivita
ASV_V3V400110,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Sva0081_sediment_group
ASV_V3V400111,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalispiraceae,Thiohalophilus
ASV_V3V400112,Bacteria,Acidobacteria,Acidobacteriia,Subgroup_2,,
ASV_V3V400113,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Candidatus_Thiobios
ASV_V3V400114,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,
ASV_V3V400116,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia
ASV_V3V400118,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum
ASV_V3V400119,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,SEEP-SRB1
ASV_V3V400120,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalispiraceae,Thioalkalispira
ASV_V3V400124,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia
ASV_V3V400125,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Desulfuromonas
ASV_V3V400126,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
ASV_V3V400128,Bacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,,
ASV_V3V400131,Bacteria,Bacteroidetes,Ignavibacteria,Ignavibacteriales,PHOS-HE36,
ASV_V3V400132,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,SB-5,
ASV_V3V400134,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Candidatus_Thiobios
ASV_V3V400135,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2
ASV_V3V400136,Bacteria,Gemmatimonadetes,BD2-11_terrestrial_group,,,
ASV_V3V400137,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalispiraceae,Thiohalophilus
ASV_V3V400138,Bacteria,Proteobacteria,Gammaproteobacteria,Milano-WF1B-44,,
ASV_V3V400139,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum
ASV_V3V400140,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Robiginitalea
ASV_V3V400141,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter
ASV_V3V400142,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,
ASV_V3V400143,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Catenococcus
ASV_V3V400144,Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,,
ASV_V3V400145,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Pseudohaliea
ASV_V3V400146,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,
ASV_V3V400149,Bacteria,Rokubacteria,NC10,Methylomirabilales,Methylomirabilaceae,wb1-A12
