Na	K	Mg	Ca	Cl	Br	SO4	EC	pH	Salinity
AA1	538	45.76	93.4	78.33	775.3	0	321.9	3600	7.143	1.61075877192982
AA2	691.1	47.13	87.07	49.96	703.3	0	164.2	4020	7.675	1.79960964912281
AA3	716.1	56.79	124.2	151	920.1	0	418.2	4330	6.862	2.04096052631579
AA4	651.2	80.48	97.89	89.33	727.9	0	244.4	3640	6.33	1.75576754385965
AA5	576.9	0	85.44	83.32	748.3	0	326.7	3510	6.67	1.65072368421053
BB1	23830	922.9	2989	1494	37540	266.6	5298	137700	6.701	74.2929824561404
BB2	23490	895.2	2830	1387	35450	249.3	5111	113100	5.974	71.8013157894737
BB3	20710	805.2	2408	1299	34700	272.1	4643	110000	6.039	66.4771929824561
BB4	19700	1069	2419	1338	30050	263.7	4192	99600	5.89	60.5109649122807
BB5	27000	1056	3260	1607	43170	273	5495	135300	5.856	84.7618421052632
CC1	11230	837.8	1422	979.3	16800	196.6	2641	59200	5.369	34.190350877193
CC2	9404	789.6	1065	762.8	11810	196.4	1744	48800	6.038	26.5509649122807
CC3	12300	602.7	1418	1004	19100	199.1	2966	61900	5.98	38.0921052631579
CC4	8236	0	505.1	252.7	14680	195.3	2143	45000	6.01	27.2477192982456
CC5	50280	1831.5	6906	3033	88740	425.6	12190	2320000	5.936	165.534210526316
DD1	18378	0	2394.9	1926.6	26394	0	3591	86700	6.389	54.9402631578947
DD2	18678	0	1872.6	1638.6	27663	0	4152	85200	6.487	56.6090789473684
DD3	14670	2931.3	1578.3	1498.5	24540	0	3390	82500	5.989	47.0526315789474
DD4	18702	0	2127.9	1845	27831	0	3885	78100	6.961	56.8038157894737
DD5	27459	1812.6	3675	1833.9	47640	0	7977	158000	6.57	89.6439473684211
